\\NICKCOOKSEY\Users\nickc_000\OneDrive\Public\#729 NCMS 155\190207 - Flat Plate Groove Repeatability\190207-11 - 0.040Dm-60deg-Xpos-16pass_out.csv,,,
2/7/2019,3:58 PM,,
S/N:SN 0,,,
TYPE:M2_50_Cal,,,
STATUS:IN PROCESS GROOVE MACHINING,,,
Land Diameter:0.49975,,,
ID,X(in),Y(in),Z(in)
0,-0.320420239,0,0
0,-0.319620239,0,0
0,-0.318820239,0,0
0,-0.318020239,0,0
0,-0.317220239,0,0
0,-0.316420239,0,0
0,-0.315620239,0,0
0,-0.314820239,0,0
0,-0.314020239,0,0
0,-0.313220239,0,0
0,-0.312420239,0,0
0,-0.311620239,0,0
0,-0.310820239,0,0
0,-0.310020239,0,0
0,-0.309220239,0,0
0,-0.308420239,0,0
0,-0.307620239,0,0
0,-0.306820239,0,0
0,-0.306020239,0,0
0,-0.305220239,0,0
0,-0.304420239,0,0
0,-0.303620239,0,0
0,-0.302820239,0,0
0,-0.302020239,0,0
0,-0.301220239,0,0
0,-0.300420239,0,0
0,-0.299620239,0,0
0,-0.298820239,0,0
0,-0.298020239,0,0
0,-0.297220239,0,0
0,-0.296420239,0,0
0,-0.295620239,0,0
0,-0.294820239,0,0
0,-0.294020239,0,0
0,-0.293220239,0,0
0,-0.292420239,0,0
0,-0.291620239,0,0
0,-0.290820239,0,0
0,-0.290020239,0,0
0,-0.289220239,0,0
0,-0.288420239,0,0
0,-0.287620239,0,0
0,-0.286820239,0,0
0,-0.286020239,0,0
0,-0.285220239,0,0
0,-0.284420239,0,0
0,-0.283620239,0,0
0,-0.282820239,0,0
0,-0.282020239,0,0
0,-0.281220239,0,0
0,-0.280420239,0,0
0,-0.279620239,0,0
0,-0.278820239,0,0
0,-0.278020239,0,0
0,-0.277220239,0,0
0,-0.276420239,0,0
0,-0.275620239,0,0
0,-0.274820239,0,0
0,-0.274020239,0,0
0,-0.273220239,0,0
0,-0.272420239,0,0
0,-0.271620239,0,0
0,-0.270820239,0,0
0,-0.270020239,0,0
0,-0.269220239,0,0
0,-0.268420239,0,0
0,-0.267620239,0,0
0,-0.266820239,0,0
0,-0.266020239,0,0
0,-0.265220239,0,0
0,-0.264420239,0,0
0,-0.263620239,0,0
0,-0.262820239,0,0
0,-0.262020239,0,0
0,-0.261220239,0,0
0,-0.260420239,0,0
0,-0.259620239,0,0
0,-0.258820239,0,0
0,-0.258020239,0,0
0,-0.257220239,0,0
0,-0.256420239,0,0
0,-0.255620239,0,0
0,-0.254820239,0,0
0,-0.254020239,0,0
0,-0.253220239,0,0
0,-0.252420239,0,0
0,-0.251620239,0,0
0,-0.250820239,0,0
0,-0.250020239,0,0
0,-0.249220239,0,0
0,-0.248420239,0,0
0,-0.247620239,0,0
0,-0.246820239,0,0
0,-0.246020239,0,0
0,-0.245220239,0,0
0,-0.244420239,0,0
0,-0.243620239,0,0
0,-0.242820239,0,0
0,-0.242020239,0,0
0,-0.241220239,0,0
0,-0.240420239,0,0
0,-0.239620239,0,0
0,-0.238820239,0,0
0,-0.238020239,0,0
0,-0.237220239,0,0
0,-0.236420239,0,0
0,-0.235620239,0,0
0,-0.234820239,0,0
0,-0.234020239,0,0
0,-0.233220239,0,0
0,-0.232420239,0,0
0,-0.231620239,0,0
0,-0.230820239,0,0
0,-0.230020239,0,0
0,-0.229220239,0,0
0,-0.228420239,0,0
0,-0.227620239,0,0
0,-0.226820239,0,0
0,-0.226020239,0,0
0,-0.225220239,0,0
0,-0.224420239,0,0
0,-0.223620239,0,0
0,-0.222820239,0,0
0,-0.222020239,0,0
0,-0.221220239,0,0
0,-0.220420239,0,0
0,-0.219620239,0,0
0,-0.218820239,0,0
0,-0.218020239,0,0
0,-0.217220239,0,0
0,-0.216420239,0,0
0,-0.215620239,0,0
0,-0.214820239,0,0
0,-0.214020239,0,0
0,-0.213220239,0,0
0,-0.212420239,0,0
0,-0.211620239,0,0
0,-0.210820239,0,0
0,-0.210020239,0,0
0,-0.209220239,0,0
0,-0.208420239,0,0
0,-0.207620239,0,0
0,-0.206820239,0,0
0,-0.206020239,0,0
0,-0.205220239,0,0
0,-0.204420239,0,0
0,-0.203620239,0,0
0,-0.202820239,0,0
0,-0.202020239,0,0
0,-0.201220239,0,0
0,-0.200420239,0,0
0,-0.199620239,0,0
0,-0.198820239,0,0
0,-0.198020239,0,0
0,-0.197220239,0,0
0,-0.196420239,0,0
0,-0.195620239,0,0
0,-0.194820239,0,0
0,-0.194020239,0,0
0,-0.193220239,0,0
0,-0.192420239,0,0
0,-0.191620239,0,0
0,-0.190820239,0,0
0,-0.190020239,0,0
0,-0.189220239,0,0
0,-0.188420239,0,0
0,-0.187620239,0,0
0,-0.186820239,0,0
0,-0.186020239,0,0
0,-0.185220239,0,0
0,-0.184420239,0,0
0,-0.183620239,0,0
0,-0.182820239,0,0
0,-0.182020239,0,0
0,-0.181220239,0,0
0,-0.180420239,0,0
0,-0.179620239,0,0
0,-0.178820239,0,0
0,-0.178020239,0,0
0,-0.177220239,0,0
0,-0.176420239,0,0
0,-0.175620239,0,0
0,-0.174820239,0,0
0,-0.174020239,0,0
0,-0.173220239,0,0
0,-0.172420239,0,0
0,-0.171620239,0,0
0,-0.170820239,0,0
0,-0.170020239,0,0
0,-0.169220239,0,0
0,-0.168420239,0,0
0,-0.167620239,0,0
0,-0.166820239,0,0
0,-0.166020239,0,0
0,-0.165220239,0,0
0,-0.164420239,0,0
0,-0.163620239,0,0
0,-0.162820239,0,0
0,-0.162020239,0,0
0,-0.161220239,0,0
0,-0.160420239,0,0
0,-0.159620239,0,0
0,-0.158820239,0,0
0,-0.158020239,0,0
0,-0.157220239,0,0
0,-0.156420239,0,0
0,-0.155620239,0,0
0,-0.154820239,0,0
0,-0.154020239,0,0
0,-0.153220239,0,0
0,-0.152420239,0,0
0,-0.151620239,0,0
0,-0.150820239,0,0
0,-0.150020239,0,0
0,-0.149220239,0,0
0,-0.148420239,0,0
0,-0.147620239,0,0
0,-0.146820239,0,0
0,-0.146020239,0,0
0,-0.145220239,0,0
0,-0.144420239,0,0
0,-0.143620239,0,0
0,-0.142820239,0,0
0,-0.142020239,0,0
0,-0.141220239,0,0
0,-0.140420239,0,0
0,-0.139620239,0,0
0,-0.138820239,0,0
0,-0.138020239,0,0
0,-0.137220239,0,0
0,-0.136420239,0,0
0,-0.135620239,0,0
0,-0.134820239,0,0
0,-0.134020239,0,0
0,-0.133220239,0,0
0,-0.132420239,0,0
0,-0.131620239,0,0
0,-0.130820239,0,0
0,-0.130020239,0,0
0,-0.129220239,0,0
0,-0.128420239,0,0
0,-0.127620239,0,0
0,-0.126820239,0,0
0,-0.126020239,0,0
0,-0.125220239,0,0
0,-0.124420239,0,0
0,-0.123620239,0,0
0,-0.122820239,0,0
0,-0.122020239,0,0
0,-0.121220239,0,0
0,-0.120420239,0,0
0,-0.119620239,0,0
0,-0.118820239,0,0
0,-0.118020239,0,0
0,-0.117220239,0,0
0,-0.116420239,0,0
0,-0.115620239,0,0
0,-0.114820239,0,0
0,-0.114020239,0,0
0,-0.113220239,0,0
0,-0.112420239,0,0
0,-0.111620239,0,0
0,-0.110820239,0,0
0,-0.110020239,0,0
0,-0.109220239,0,0
0,-0.108420239,0,0
0,-0.107620239,0,0
0,-0.106820239,0,0
0,-0.106020239,0,0
0,-0.105220239,0,0
0,-0.104420239,0,0
0,-0.103620239,0,0
0,-0.102820239,0,0
0,-0.102020239,0,0
0,-0.101220239,0,0
0,-0.100420239,0,0
0,-0.099620239,0,0
0,-0.098820239,0,0
0,-0.098020239,0,0
0,-0.097220239,0,0
0,-0.096420239,0,0
0,-0.095620239,0,0
0,-0.094820239,0,0
0,-0.094020239,0,0
0,-0.093220239,0,0
0,-0.092420239,0,0
0,-0.091620239,0,0
0,-0.090820239,0,0
0,-0.090020239,0,0
0,-0.089220239,0,0
0,-0.088420239,0,0
0,-0.087620239,0,0
0,-0.086820239,0,0
0,-0.086020239,0,0
0,-0.085220239,0,0
0,-0.084420239,0,0
0,-0.083620239,0,0
0,-0.082820239,0,0
0,-0.082020239,0,0
0,-0.081220239,0,0
0,-0.080420239,0,0
0,-0.079620239,0,0
0,-0.078820239,0,0
0,-0.078020239,0,0
0,-0.077220239,0,0
0,-0.076420239,0,0
0,-0.075620239,0,0
0,-0.074820239,0,0
0,-0.074020239,0,0
0,-0.073220239,0,0
0,-0.072420239,0,0
0,-0.071620239,0,0
0,-0.070820239,0,0
0,-0.070020239,0,0
0,-0.069220239,8.68E-05,0
0,-0.068420268,0.000127373,0
0,-0.067620297,0.00016795,0
0,-0.066820305,0.000178527,0
0,-0.066020312,0.000189104,0
0,-0.065220312,0.000189681,0
0,-0.064420305,0.000180259,0
0,-0.063620291,0.000160836,0
0,-0.062820284,0.000151413,0
0,-0.062020277,0.00014199,0
0,-0.06122027,0.000132567,0
0,-0.060420256,0.000113144,0
0,-0.059620249,0.000103722,0
0,-0.058820234,8.43E-05,0
0,-0.058020235,8.49E-05,0
0,-0.057220235,8.55E-05,0
0,-0.056420235,8.60E-05,0
0,-0.055620235,8.66E-05,0
0,-0.054820228,7.72E-05,0
0,-0.054020229,7.78E-05,0
0,-0.053220222,6.83E-05,0
0,-0.052420215,5.89E-05,0
0,-0.0516202,3.95E-05,0
0,-0.050820179,1.01E-05,0
0,-0.050020157,-1.94E-05,0
0,-0.049220143,-3.88E-05,0
0,-0.048420122,-6.82E-05,0
0,-0.047620108,-8.76E-05,0
0,-0.046820086,-0.000117044,0
0,-0.046020065,-0.000146466,0
0,-0.045220043,-0.000175889,0
0,-0.044420015,-0.000215312,0
0,-0.043619993,-0.000244735,0
0,-0.042819979,-0.000264158,0
0,-0.042019979,-0.00026358,0
0,-0.041219972,-0.000273003,0
0,-0.040419987,-0.000252426,0
0,-0.039620001,-0.000231849,0
0,-0.03882003,-0.000191272,0
0,-0.038020067,-0.000140695,0
0,-0.037220096,-0.000100117,0
0,-0.03642011,-7.95E-05,0
0,-0.035620118,-6.90E-05,0
0,-0.034820125,-5.84E-05,0
0,-0.034020118,-6.78E-05,0
0,-0.033220111,-7.72E-05,0
0,-0.03242009,-0.000106654,0
0,-0.031620068,-0.000136077,0
0,-0.030820061,-0.0001455,0
0,-0.030020054,-0.000154923,0
0,-0.029220047,-0.000164346,0
0,-0.028420019,-0.000203769,0
0,-0.027619918,-0.000343191,0
0,-0.026819709,-0.000632614,0
0,-0.026019384,-0.001082037,0
0,-0.025218923,-0.001721459,0
0,-0.024417769,-0.003320882,0
0,-0.023615763,-0.006100304,0
0,-0.022813296,-0.009519726,0
0,-0.022010216,-0.013789148,0
0,-0.021206414,-0.019058569,0
0,-0.020402157,-0.02495799,0
0,-0.019597735,-0.031087412,0
0,-0.018793341,-0.037176833,0
0,-0.017989576,-0.042396254,0
0,-0.017186574,-0.046555676,0
0,-0.016383956,-0.050185098,0
0,-0.015581929,-0.05299452,0
0,-0.014780659,-0.054753942,0
0,-0.013979909,-0.055793365,0
0,-0.013179404,-0.056492788,0
0,-0.012378979,-0.05708221,0
0,-0.011578589,-0.057621633,0
0,-0.010778265,-0.058071056,0
0,-0.009978012,-0.058420478,0
0,-0.009177811,-0.058699901,0
0,-0.008377631,-0.058949324,0
0,-0.007577494,-0.059138747,0
0,-0.006777386,-0.059288169,0
0,-0.005977306,-0.059397592,0
0,-0.005177256,-0.059467015,0
0,-0.00437722,-0.059516438,0
0,-0.003577199,-0.059545861,0
0,-0.002777185,-0.059565284,0
0,-0.001977178,-0.059574706,0
0,-0.001177185,-0.059564129,0
0,-0.000377192,-0.059553552,0
0,0.0004228,-0.059542975,0
0,0.001222793,-0.059532398,0
0,0.002022771,-0.05950182,0
0,0.002822749,-0.059471243,0
0,0.003622727,-0.059440666,0
0,0.004422705,-0.059410089,0
0,0.005222676,-0.059369512,0
0,0.006022633,-0.059308935,0
0,0.006822582,-0.059238358,0
0,0.007622517,-0.05914778,0
0,0.008422444,-0.059047203,0
0,0.009222365,-0.058936626,0
0,0.010022264,-0.058796049,0
0,0.010822119,-0.058595472,0
0,0.011621917,-0.058314895,0
0,0.012421657,-0.057954318,0
0,0.013221318,-0.057483741,0
0,0.014020899,-0.056903164,0
0,0.014820286,-0.056052587,0
0,0.015619131,-0.05445201,0
0,0.016417104,-0.051641433,0
0,0.017214398,-0.047890857,0
0,0.018010956,-0.043120281,0
0,0.018806721,-0.037249706,0
0,0.019602219,-0.03100913,0
0,0.020397673,-0.024708555,0
0,0.021193222,-0.018537979,0
0,0.021989232,-0.013007403,0
0,0.022786079,-0.008636827,0
0,0.023583611,-0.005216251,0
0,0.024381952,-0.002915674,0
0,0.025181151,-0.001805097,0
0,0.02598071,-0.00119452,0
0,0.026780407,-0.000773943,0
0,0.027580205,-0.000493366,0
0,0.028380118,-0.000372789,0
0,0.029180082,-0.000322212,0
0,0.029980067,-0.000301635,0
0,0.030780045,-0.000271058,0
0,0.031580038,-0.00026048,0
0,0.032380016,-0.000229903,0
0,0.033179987,-0.000189326,0
0,0.033979958,-0.000148749,0
0,0.034779929,-0.000108172,0
0,0.035579892,-5.76E-05,0
0,0.036379863,-1.70E-05,0
0,0.037179842,1.36E-05,0
0,0.037979827,3.41E-05,0
0,0.038779812,5.47E-05,0
0,0.039579805,6.53E-05,0
0,0.040379805,6.59E-05,0
0,0.041179812,5.64E-05,0
0,0.041979819,4.70E-05,0
0,0.042779826,3.76E-05,0
0,0.04357984,1.82E-05,0
0,0.044379847,8.75E-06,0
0,0.045179854,-6.69E-07,0
0,0.045979854,-9.14E-08,0
0,0.046779853,4.86E-07,0
0,0.047579853,1.06E-06,0
0,0.04837986,-8.36E-06,0
0,0.049179867,-1.78E-05,0
0,0.049979881,-3.72E-05,0
0,0.050779896,-5.66E-05,0
0,0.051579917,-8.61E-05,0
0,0.052379946,-0.000125474,0
0,0.053179967,-0.000154897,0
0,0.053979989,-0.00018432,0
0,0.054779988,-0.000183742,0
0,0.055579967,-0.000153165,0
0,0.05637993,-0.000102588,0
0,0.057179887,-4.20E-05,0
0,0.057979851,8.57E-06,0
0,0.058779807,6.91E-05,0
0,0.059579778,0.000109721,0
0,0.060379756,0.000140298,0
0,0.061179763,0.000130875,0
0,0.061979792,9.15E-05,0
0,0.062779842,2.20E-05,0
0,0.063579892,-4.74E-05,0
0,0.064379943,-0.000116816,0
0,0.065179993,-0.000186239,0
0,0.065980029,-0.000235662,0
0,0.06678005,-0.000265085,0
0,0.067580043,-0.000254508,0
0,0.068380007,-0.00020393,0
0,0.06917997,-0.000153353,0
0,0.069979927,-9.28E-05,0
0,0.070779876,-2.22E-05,0
,0.071579876,0,
,0.072379876,0,
,0.073179876,0,
,0.073979876,0,
,0.074779876,0,
,0.075579876,0,
,0.076379876,0,
,0.077179876,0,
,0.077979876,0,
,0.078779876,0,
,0.079579876,0,
,0.080379876,0,
,0.081179876,0,
,0.081979876,0,
,0.082779876,0,
,0.083579876,0,
,0.084379876,0,
,0.085179876,0,
,0.085979876,0,
,0.086779876,0,
,0.087579876,0,
,0.088379876,0,
,0.089179876,0,
,0.089979876,0,
,0.090779876,0,
,0.091579876,0,
,0.092379876,0,
,0.093179876,0,
,0.093979876,0,
,0.094779876,0,
,0.095579876,0,
,0.096379876,0,
,0.097179876,0,
,0.097979876,0,
,0.098779876,0,
,0.099579876,0,
,0.100379876,0,
,0.101179876,0,
,0.101979876,0,
,0.102779876,0,
,0.103579876,0,
,0.104379876,0,
,0.105179876,0,
,0.105979876,0,
,0.106779876,0,
,0.107579876,0,
,0.108379876,0,
,0.109179876,0,
,0.109979876,0,
,0.110779876,0,
,0.111579876,0,
,0.112379876,0,
,0.113179876,0,
,0.113979876,0,
,0.114779876,0,
,0.115579876,0,
,0.116379876,0,
,0.117179876,0,
,0.117979876,0,
,0.118779876,0,
,0.119579876,0,
,0.120379876,0,
,0.121179876,0,
,0.121979876,0,
,0.122779876,0,
,0.123579876,0,
,0.124379876,0,
,0.125179876,0,
,0.125979876,0,
,0.126779876,0,
,0.127579876,0,
,0.128379876,0,
,0.129179876,0,
,0.129979876,0,
,0.130779876,0,
,0.131579876,0,
,0.132379876,0,
,0.133179876,0,
,0.133979876,0,
,0.134779876,0,
,0.135579876,0,
,0.136379876,0,
,0.137179876,0,
,0.137979876,0,
,0.138779876,0,
,0.139579876,0,
,0.140379876,0,
,0.141179876,0,
,0.141979876,0,
,0.142779876,0,
,0.143579876,0,
,0.144379876,0,
,0.145179876,0,
,0.145979876,0,
,0.146779876,0,
,0.147579876,0,
,0.148379876,0,
,0.149179876,0,
,0.149979876,0,
,0.150779876,0,
,0.151579876,0,
,0.152379876,0,
,0.153179876,0,
,0.153979876,0,
,0.154779876,0,
,0.155579876,0,
,0.156379876,0,
,0.157179876,0,
,0.157979876,0,
,0.158779876,0,
,0.159579876,0,
,0.160379876,0,
,0.161179876,0,
,0.161979876,0,
,0.162779876,0,
,0.163579876,0,
,0.164379876,0,
,0.165179876,0,
,0.165979876,0,
,0.166779876,0,
,0.167579876,0,
,0.168379876,0,
,0.169179876,0,
,0.169979876,0,
,0.170779876,0,
,0.171579876,0,
,0.172379876,0,
,0.173179876,0,
,0.173979876,0,
,0.174779876,0,
,0.175579876,0,
,0.176379876,0,
,0.177179876,0,
,0.177979876,0,
,0.178779876,0,
,0.179579876,0,
,0.180379876,0,
,0.181179876,0,
,0.181979876,0,
,0.182779876,0,
,0.183579876,0,
,0.184379876,0,
,0.185179876,0,
,0.185979876,0,
,0.186779876,0,
,0.187579876,0,
,0.188379876,0,
,0.189179876,0,
,0.189979876,0,
,0.190779876,0,
,0.191579876,0,
,0.192379876,0,
,0.193179876,0,
,0.193979876,0,
,0.194779876,0,
,0.195579876,0,
,0.196379876,0,
,0.197179876,0,
,0.197979876,0,
,0.198779876,0,
,0.199579876,0,
,0.200379876,0,
,0.201179876,0,
,0.201979876,0,
,0.202779876,0,
,0.203579876,0,
,0.204379876,0,
,0.205179876,0,
,0.205979876,0,
,0.206779876,0,
,0.207579876,0,
,0.208379876,0,
,0.209179876,0,
,0.209979876,0,
,0.210779876,0,
,0.211579876,0,
,0.212379876,0,
,0.213179876,0,
,0.213979876,0,
,0.214779876,0,
,0.215579876,0,
,0.216379876,0,
,0.217179876,0,
,0.217979876,0,
,0.218779876,0,
,0.219579876,0,
,0.220379876,0,
,0.221179876,0,
,0.221979876,0,
,0.222779876,0,
,0.223579876,0,
,0.224379876,0,
,0.225179876,0,
,0.225979876,0,
,0.226779876,0,
,0.227579876,0,
,0.228379876,0,
,0.229179876,0,
,0.229979876,0,
,0.230779876,0,
,0.231579876,0,
,0.232379876,0,
,0.233179876,0,
,0.233979876,0,
,0.234779876,0,
,0.235579876,0,
,0.236379876,0,
,0.237179876,0,
,0.237979876,0,
,0.238779876,0,
,0.239579876,0,
,0.240379876,0,
,0.241179876,0,
,0.241979876,0,
,0.242779876,0,
,0.243579876,0,
,0.244379876,0,
,0.245179876,0,
,0.245979876,0,
,0.246779876,0,
,0.247579876,0,
,0.248379876,0,
,0.249179876,0,
,0.249979876,0,
,0.250779876,0,
,0.251579876,0,
,0.252379876,0,
,0.253179876,0,
,0.253979876,0,
,0.254779876,0,
,0.255579876,0,
,0.256379876,0,
,0.257179876,0,
,0.257979876,0,
,0.258779876,0,
,0.259579876,0,
,0.260379876,0,
,0.261179876,0,
,0.261979876,0,
,0.262779876,0,
,0.263579876,0,
,0.264379876,0,
,0.265179876,0,
,0.265979876,0,
,0.266779876,0,
,0.267579876,0,
,0.268379876,0,
,0.269179876,0,
,0.269979876,0,
,0.270779876,0,
,0.271579876,0,
,0.272379876,0,
,0.273179876,0,
,0.273979876,0,
,0.274779876,0,
,0.275579876,0,
,0.276379876,0,
,0.277179876,0,
,0.277979876,0,
,0.278779876,0,
,0.279579876,0,
,0.280379876,0,
,0.281179876,0,
,0.281979876,0,
,0.282779876,0,
,0.283579876,0,
,0.284379876,0,
,0.285179876,0,
,0.285979876,0,
,0.286779876,0,
,0.287579876,0,
,0.288379876,0,
,0.289179876,0,
,0.289979876,0,
,0.290779876,0,
,0.291579876,0,
,0.292379876,0,
,0.293179876,0,
,0.293979876,0,
,0.294779876,0,
,0.295579876,0,
,0.296379876,0,
,0.297179876,0,
,0.297979876,0,
,0.298779876,0,
,0.299579876,0,
,0.300379876,0,
,0.301179876,0,
,0.301979876,0,
,0.302779876,0,
,0.303579876,0,
,0.304379876,0,
,0.305179876,0,
,0.305979876,0,
,0.306779876,0,
,0.307579876,0,
,0.308379876,0,
,0.309179876,0,
,0.309979876,0,
,0.310779876,0,
,0.311579876,0,
,0.312379876,0,
,0.313179876,0,
,0.313979876,0,
,0.314779876,0,
,0.315579876,0,
,0.316379876,0,
,0.317179876,0,
,0.317979876,0,
,0.318779876,0,
,0.319579876,0,
